natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/140x105/b0a1/85438201-0000-0500-0000-000013c5b0a1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a2/85438201-0000-0500-0000-000013c5b0a2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a3/85438201-0000-0500-0000-000013c5b0a3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a5/85438201-0000-0500-0000-000013c5b0a5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a6/85438201-0000-0500-0000-000013c5b0a6.jpg']",Millennium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/b0b2/86438201-0000-0500-0000-000013c5b0b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b2/86438201-0000-0500-0000-000013c5b0b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b3/86438201-0000-0500-0000-000013c5b0b3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b4/86438201-0000-0500-0000-000013c5b0b4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b6/86438201-0000-0500-0000-000013c5b0b6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b7/86438201-0000-0500-0000-000013c5b0b7.jpg']",Millennium,,,

,,,,,,,,150,2019,"['https://millenniumimoveis.janeladigital.com/images/640x480/3a33/a42f8201-0000-0500-0000-000013c33a33.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/3a34/a42f8201-0000-0500-0000-000013c33a34.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a33/a42f8201-0000-0500-0000-000013c33a33.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a34/a42f8201-0000-0500-0000-000013c33a34.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a35/a42f8201-0000-0500-0000-000013c33a35.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a36/a42f8201-0000-0500-0000-000013c33a36.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a37/a42f8201-0000-0500-0000-000013c33a37.jpg']",Millennium,DCEI- AVI - Área de Gestão de Vendas de Imóveis,dgv@millenniumbcp.pt,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/32c7/b02a8201-0000-0500-0000-000013c632c7.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/32c8/b02a8201-0000-0500-0000-000013c632c8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32c7/b02a8201-0000-0500-0000-000013c632c7.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32c8/b02a8201-0000-0500-0000-000013c632c8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32c9/b02a8201-0000-0500-0000-000013c632c9.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32ca/b02a8201-0000-0500-0000-000013c632ca.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32cb/b02a8201-0000-0500-0000-000013c632cb.jpg']",Millennium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/88b1/63128101-0000-0500-0000-000013bf88b1.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/88b2/63128101-0000-0500-0000-000013bf88b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b1/63128101-0000-0500-0000-000013bf88b1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b2/63128101-0000-0500-0000-000013bf88b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b3/63128101-0000-0500-0000-000013bf88b3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b4/63128101-0000-0500-0000-000013bf88b4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b5/63128101-0000-0500-0000-000013bf88b5.jpg']",Millennium,,,

