natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/b0a1/85438201-0000-0500-0000-000013c5b0a1.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/b0a2/85438201-0000-0500-0000-000013c5b0a2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a1/85438201-0000-0500-0000-000013c5b0a1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a2/85438201-0000-0500-0000-000013c5b0a2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a3/85438201-0000-0500-0000-000013c5b0a3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a5/85438201-0000-0500-0000-000013c5b0a5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0a6/85438201-0000-0500-0000-000013c5b0a6.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/b0b2/86438201-0000-0500-0000-000013c5b0b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/b0b3/86438201-0000-0500-0000-000013c5b0b3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b2/86438201-0000-0500-0000-000013c5b0b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b3/86438201-0000-0500-0000-000013c5b0b3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b4/86438201-0000-0500-0000-000013c5b0b4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b6/86438201-0000-0500-0000-000013c5b0b6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/b0b7/86438201-0000-0500-0000-000013c5b0b7.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/3a33/a42f8201-0000-0500-0000-000013c33a33.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/2c5c/a42f8201-0000-0500-0000-000013c72c5c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a33/a42f8201-0000-0500-0000-000013c33a33.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2c5c/a42f8201-0000-0500-0000-000013c72c5c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a35/a42f8201-0000-0500-0000-000013c33a35.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3a36/a42f8201-0000-0500-0000-000013c33a36.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2c5e/a42f8201-0000-0500-0000-000013c72c5e.jpg']",Millenium,,,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/32c7/b02a8201-0000-0500-0000-000013c632c7.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/2c6d/b02a8201-0000-0500-0000-000013c72c6d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32c7/b02a8201-0000-0500-0000-000013c632c7.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2c6d/b02a8201-0000-0500-0000-000013c72c6d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2c6f/b02a8201-0000-0500-0000-000013c72c6f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/32ca/b02a8201-0000-0500-0000-000013c632ca.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2c70/b02a8201-0000-0500-0000-000013c72c70.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/88b1/63128101-0000-0500-0000-000013bf88b1.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/88b2/63128101-0000-0500-0000-000013bf88b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b1/63128101-0000-0500-0000-000013bf88b1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b2/63128101-0000-0500-0000-000013bf88b2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b3/63128101-0000-0500-0000-000013bf88b3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b4/63128101-0000-0500-0000-000013bf88b4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/88b5/63128101-0000-0500-0000-000013bf88b5.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/bb53/f1d88001-0000-0500-0000-000013bdbb53.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/bb54/f1d88001-0000-0500-0000-000013bdbb54.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bb53/f1d88001-0000-0500-0000-000013bdbb53.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bb54/f1d88001-0000-0500-0000-000013bdbb54.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bb55/f1d88001-0000-0500-0000-000013bdbb55.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bb56/f1d88001-0000-0500-0000-000013bdbb56.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bb57/f1d88001-0000-0500-0000-000013bdbb57.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/140x105/bca4/95318b00-0000-0500-0000-000013c1bca4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca5/95318b00-0000-0500-0000-000013c1bca5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca6/95318b00-0000-0500-0000-000013c1bca6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca7/95318b00-0000-0500-0000-000013c1bca7.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca8/95318b00-0000-0500-0000-000013c1bca8.jpg']",Millenium,,,

,,,,,,,,,,,Millenium,,,

,,,,,,,,,,,Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/140x105/3025/42d08001-0000-0500-0000-000013b83025.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3027/42d08001-0000-0500-0000-000013b83027.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/a675/60126a00-0000-0500-0000-000013baa675.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/a674/60126a00-0000-0500-0000-000013baa674.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/a675/60126a00-0000-0500-0000-000013baa675.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/a676/60126a00-0000-0500-0000-000013baa676.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca3/60126a00-0000-0500-0000-000013c1bca3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/a678/60126a00-0000-0500-0000-000013baa678.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/651a/399c8001-0000-0500-0000-000013b2651a.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/6517/399c8001-0000-0500-0000-000013b26517.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/651a/399c8001-0000-0500-0000-000013b2651a.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/651d/399c8001-0000-0500-0000-000013b2651d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/6520/399c8001-0000-0500-0000-000013b26520.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/6523/399c8001-0000-0500-0000-000013b26523.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/650c/3a9c8001-0000-0500-0000-000013b2650c.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/650d/3a9c8001-0000-0500-0000-000013b2650d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/650c/3a9c8001-0000-0500-0000-000013b2650c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/650d/3a9c8001-0000-0500-0000-000013b2650d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/650e/3a9c8001-0000-0500-0000-000013b2650e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/650f/3a9c8001-0000-0500-0000-000013b2650f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/6510/3a9c8001-0000-0500-0000-000013b26510.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/96a0/5313e500-0000-0500-0000-000013ab96a0.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/96a1/5313e500-0000-0500-0000-000013ab96a1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/96a0/5313e500-0000-0500-0000-000013ab96a0.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/96a1/5313e500-0000-0500-0000-000013ab96a1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/96a2/5313e500-0000-0500-0000-000013ab96a2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/96a3/5313e500-0000-0500-0000-000013ab96a3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/96a4/5313e500-0000-0500-0000-000013ab96a4.jpg']",Millenium,,,211 988 863

