natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone,descricao
Lote Prédio ,17711LT 133,279000,,Lisboa,Sintra,Rio de Mouro,Lote,266,,"['https://jackhammer.janeladigital.com/Z1140x855/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa234.JPG', 'https://jackhammer.janeladigital.com/Z1140x855/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa235.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa234.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa235.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa236.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa237.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P7565734/Tphoto/IDa6717300-0000-0500-0000-00000a4aa238.JPG']",Montepio,,,,"***Lote de terreno com a área de 266 m2 para construção de edifício de habitação colectiva com 6 pisos acima da cota de soleira e 2 abaixo, 18 fogos (1 T1, 15 T2 e 2 T3) e 133 m2 para 3 unidades comerciais.

Com 266 m2 de área de implantação, 1.893 m2 de área de construção para habitação, 266 m2 de estacionamento em cave para 18 garagens e 18 lugares de estacionamento.

Muito bem localizado na Avenida do Parque em Fitares, Rio de Mouro. Dista cerca de 300m do Fitares Shopping e do Pingo Doce. Zona consolidada. Boas acessibilidades e perto de transportes públicos, autocarros e comboios."

Terreno Urbano ,20219LT 25,171000,,Lisboa,Torres Vedras,Campelos e Outeiro da Cabeça,Urbano,1843,,"['https://jackhammer.janeladigital.com/Z1140x855/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6520.jpg', 'https://jackhammer.janeladigital.com/Z640x480/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6524.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6520.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6524.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6527.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a652a.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a652d.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-0000112a6530.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P21630158/Tphoto/IDce0c4a01-0000-0500-0000-000011b6c913.jpg']",Montepio,,,,"***No Loteamento das Malhadinhas | Condomínio das Malvas, em Campelos, Torres Vedras, lote de terreno bem enquadrado, com 1.843 m2, para construção de prédio de habitação multiifamiliar, com 20 fogos de habitação.
Prédio de 3 pisos + cave, com uma área de implantação de 720 m2, área bruta de construção de 3.107 m2, sendo 1.867 m2 para habitação, 232 m2 para arrumos e o remanescente para garagens (30 lugares parqueamento).

Urbanização com as infraestruturas concluídas.

Junto ao centro da vila de Campelos, com oferta na envolvente próxima de comércio, serviços e equipamentos urbanos de apoio e lazer.

Ótimos acessos, dista menos de 500 m da N361-1 e 3 km da A8 (Nó Campelos).

Com paragens de autocarros a 500 m, que estabelecem comunicação quer a Torres Vedras (15 km ), quer à Lourinhã (11 km).

Interessante proximidade e acessibilidade às praias da região, Santa Cruz, Areia Branca, Peniche, Ericeira e outras.

A apenas 30 minutos de Lisboa."

Loja ,11564A,106000,,Porto,Maia,Cidade da Maia,,157,,"['https://jackhammer.janeladigital.com/Z1140x855/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8224.JPG', 'https://jackhammer.janeladigital.com/Z1140x855/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8225.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8224.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8225.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8226.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8227.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8228.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f8229.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P23690117/Tphoto/ID857b6901-0000-0500-0000-0000112f822a.JPG']",Montepio,,,,"Loja ampla por finalizar, localizada próxima à Rotunda do Lavrador, nas proximidades do centro da cidade da Maia.
Fração autónoma 'A' composta por um espaço amplo e 2 instalações sanitárias, com uso exclusivo do terraço privativo A1.

Imóvel sem licença de utilização, a alienar na situação em que se encontra, ao abrigo do Simplex.

Devido às condições atuais, não é elegível para financiamento bancário."

Lote Moradia ,17534LT210,219000,,Lisboa,Sintra,Rio de Mouro,Lote,2649,,"['https://jackhammer.janeladigital.com/Z640x480/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a6.jpg', 'https://jackhammer.janeladigital.com/Z640x480/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a7.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a6.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a7.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a8.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334a9.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P12233584/Tphoto/ID70abba00-0000-0500-0000-0000101334aa.jpg']",Montepio,,,,"***Sintra - Campus Universitário - Lote 210 para Moradia***

Inserese numa Urbanização conhecida como Campus Universitário de Sintra, onde já funciona a Faculdade de Medicina da Universidade Católica.

Com uma localização estratégica e excelentes acessibilidades, a cerca de 1200 metros a norte do Taguspark, entre São Marcos a nascente e Asfamil a poente; em zona bem servida de comércio e equipamentos, ao lado da N249-3, via de acesso directo à IC19 e à A5 e, onde se prevê a passagem da futura Circular Poente do Cacém, com ligação à A16.

Lote 210 - Com a área de 2.649 m2, destinado à construção de moradia unifamiliar isolada, de 2 pisos + cave, com 200 m2 de área de implantação, 400 m2 de área bruta de construção acima do solo e 200 m2 de área bruta de construção em cave.

A comercialização deste imóvel poderá ser efetuada através de procedimento de apresentação de propostas em 'carta fechada', cujas condições serão informadas aos potenciais interessados, de forma a garantir a máxima transparência, rigor e equidade na comercialização do mesmo."

Loja ,20729B,65000,,Leiria,Batalha,São Mamede,,149,,"['https://jackhammer.janeladigital.com/Z640x480/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd58.JPG', 'https://jackhammer.janeladigital.com/Z640x480/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd59.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd58.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd59.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd5a.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd5b.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd5d.JPG', 'https://jackhammer.janeladigital.com/Z360x270/S5/C5791/P25161613/Tphoto/ID8def7f01-0000-0500-0000-000013bfcd5f.JPG']",Montepio,,,,"***Espaçosa Loja com montras no Centro da Batalha.

É constituída por espaço amplo, 2 arrumos, 2 inst. sanitárias (público) e ainda 1 inst. sanitária / vestiário.

Tem também 1 estacionamento na cave."

