natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
Loja / comércio,27036,27500,,,Fundão,"Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",/ comércio,38,1996,"['https://cdn.proppy.app/propertyfiles/18/198680/6631e449-83cd-4cd3-b114-4345d223c197.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/9b277eff-df21-4d6f-9633-0a8a7e5347b1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/da2a17d3-efcd-4579-922c-40bf3e826e5a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/a0a4e3a7-bf29-40a8-a41b-5aab73fce334.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/d64e814e-4f83-447d-82d1-3a4ca0b7af05.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/14419039-735c-4551-b0d7-75ae617fa87d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/dd1e7ca0-9e63-4519-9c22-6c9602a63dc6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/6631e449-83cd-4cd3-b114-4345d223c197.jpg', 'https://cdn.proppy.app/propertyfiles/18/198680/9b277eff-df21-4d6f-9633-0a8a7e5347b1.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Escritório,27112,2750000,,,Lisboa,Avenidas Novas,,771,1981,"['https://cdn.proppy.app/propertyfiles/18/198679/0c1eda68-d177-4303-951b-5ebd7c7e23b4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/aa4ee2b4-ae01-4329-b01c-ef67388a71ce.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/e0ff63a4-cec7-45ea-86c6-4b5878cd7317.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/9ba6b69f-ee10-4f9d-b0cb-17fc15a23b85.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/f6998955-3065-4ae5-8783-7ecf3a075dd2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/8ed2c6ac-8f15-4131-8884-c73ca26a721b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/d2d4b729-78f7-4298-b1d2-c840fbf31e84.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/0edf35a7-ee93-441c-9b4c-af70bbd134e5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/011137e8-fb2d-4cbe-be18-f1b7c9428b66.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/e93070c3-389a-4fe7-adcf-652f23d7b93b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/ca31c26e-bc92-4be5-9ef4-4aa8867eb69b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/66fb7242-787a-4c85-b42d-53b53ab307ed.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/0c1eda68-d177-4303-951b-5ebd7c7e23b4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198679/aa4ee2b4-ae01-4329-b01c-ef67388a71ce.jpg']",Santander,João Baranda,joao.baranda@santander.pt,937661262

Loja / comércio,26932,683000,,,Lisboa,Ajuda,/ comércio,271,1998,"['https://cdn.proppy.app/propertyfiles/18/198678/b5c1d275-0d91-4b86-9e64-6f79f9a0a9f3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/4c63778e-0baa-4c93-bc00-f2236df7e05f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/db5df6b9-7207-45ea-af8f-9e15d0ab5621.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/d58e77e1-c203-4fb6-81c5-50f1efb6774c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/3d9b3143-bd63-4522-b9d9-6cd9e0d0d362.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/93c23d28-55d2-4f87-82b0-2c2ce27e0156.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/e92ce84d-1eff-4f1a-84a6-5778c8d9f1c8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/6397c8a5-a836-4c85-bda8-0e94ec4ffb15.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/6628494b-1696-49bd-8e44-1ae80f92c151.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/d1001837-6a9d-4377-85aa-6d49286030e1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/2cf87e70-bccf-4bc6-8405-1e7fb60139d9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/d97f9db1-1129-49eb-9958-e3356086e1ef.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/b5c1d275-0d91-4b86-9e64-6f79f9a0a9f3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198678/4c63778e-0baa-4c93-bc00-f2236df7e05f.jpg']",Santander,,,

Apartamento T2,27122,142500,,,Setúbal,Setúbal (São Sebastião),; T2,70,1991,"['https://cdn.proppy.app/propertyfiles/18/198677/7bff1eb0-560d-457c-a6ac-4fd460ee6276.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/82976dd2-b898-44da-b117-7709283add61.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/5b16163b-4138-4546-a6ec-dbe839299b96.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/eb04455d-4810-4e25-99e7-d2e733d9abdd.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/bc267955-98f6-4bfc-8393-3404b2cdc4dc.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/2d228d5f-de8a-47b5-876f-4cc8b06f0bd8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/f46a99f5-348b-4507-bbcf-87ed1c32ce81.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/1969d2c9-2080-46a4-a572-57b539ad59ac.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/70458e1e-7295-48cf-92e8-9736712aa3c8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/7bff1eb0-560d-457c-a6ac-4fd460ee6276.jpg', 'https://cdn.proppy.app/propertyfiles/18/198677/82976dd2-b898-44da-b117-7709283add61.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Loja / comércio,19368,525000,,,Porto,Lordelo do Ouro e Massarelos,/ comércio,292,1998,"['https://cdn.proppy.app/propertyfiles/18/198676/e711e54d-d5cc-4708-af01-f4d4a631e710.png', 'https://cdn.proppy.app/propertyfiles/18/198676/e9f060d2-0d94-467e-9145-fe9a00b4968c.png', 'https://cdn.proppy.app/propertyfiles/18/198676/5e863f44-c79b-4ac8-ace3-83f4fba981fa.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/45db3205-c092-4de7-8fa8-57f5fee955d5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/acc19953-9f9c-47a8-b590-654374ce174b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/d168cdcb-3333-498e-9704-5751734acd4c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/9a2ca4b9-6507-443a-a99c-f9d930381333.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/78d5e53e-9a84-47bd-97c2-4d5de973d74d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/7d380f6c-57ed-4a77-b1b9-2529f4e554cc.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/e6b53644-b4ae-476f-a05b-d471171f1fac.jpg', 'https://cdn.proppy.app/propertyfiles/18/198676/388d3e13-06c1-4f1c-b608-fe5c8087016f.png', 'https://cdn.proppy.app/propertyfiles/18/198676/3c91afeb-1b55-47c0-93b2-d876e48204d3.png', 'https://cdn.proppy.app/propertyfiles/18/198676/e711e54d-d5cc-4708-af01-f4d4a631e710.png', 'https://cdn.proppy.app/propertyfiles/18/198676/e9f060d2-0d94-467e-9145-fe9a00b4968c.png']",Santander,João Baranda,joao.baranda@santander.pt,937661262

